,0.38571428571428573
fuel,0.051777916406737366
gear,0.04337152209492635
flight,0.04077906269020085
airplane,0.0390645078386019
cessna,0.0375
landing,0.036824877250409165
pilot,0.03574788334901223
aircraft,0.033391915641476276
helicopter,0.032818532818532815
balloon,0.03225806451612903
tow,0.03164556962025317
collective,0.029947916666666668
propeller,0.029149797570850202
engine,0.028605482717520857
tug,0.028448275862068967
n,0.0283203125
aal,0.028296207104154123
marshaller,0.027696793002915453
nose,0.027287319422150885
oil,0.027111574556830033
approach,0.026635784597568036
glider,0.026575550493545937
number,0.02605091770278271
flap,0.025711662075298437
runway,0.02568593111500292
accident,0.025101763907734057
none,0.024834437086092714
rod,0.024822695035460994
connecting,0.024822695035460994
brake,0.02478134110787172
lock,0.024739583333333332
window,0.02466525722339676
fan,0.02442528735632184
card,0.024081115335868188
hang,0.023943661971830985
instructor,0.023728813559322035
reported,0.023353293413173652
dh,0.023255813953488372
feet,0.02255299954894001
csd,0.022275258552108195
carburetor,0.021828103683492497
wing,0.02180028129395218
swa,0.02164900967296177
cfi,0.02156028368794326
fire,0.02149912841371296
system,0.02142857142857143
control,0.0212298682284041
ground,0.021137026239067054
cylinder,0.020421607378129116
information,0.02040816326530612
power,0.020356234096692113
c,0.02025481868670369
rotor,0.02023298589822195
pa,0.020161290322580645
blade,0.020114942528735632
cuff,0.020077220077220077
field,0.019927536231884056
recorded,0.01977139326536917
first,0.019704433497536946
sky,0.019675925925925927
stabilizer,0.019638242894056846
student,0.019637462235649546
grob,0.019529006318207927
hours,0.019449541284403668
rv,0.019422863485016647
bearing,0.019395579612088407
turbulence,0.019349164467897976
tail,0.019337016574585635
parachute,0.01907032181168057
unknown,0.019011406844106463
crankshaft,0.018973998594518624
takeoff,0.018953752843062926
stated,0.018815331010452963
b,0.018806509945750453
door,0.018670309653916212
hydraulic,0.01845699520118125
aileron,0.018396846254927726
degrees,0.01835627868168544
crew,0.018262313226342003
left,0.018255578093306288
pic,0.01825442099258414
right,0.018238665971860343
stall,0.018168054504163512
person,0.01812688821752266
steering,0.018057784911717497
pipe,0.017955801104972375
truck,0.01794526693584567
bolt,0.017929910350448247
turbine,0.017919750681729647
ak,0.017857142857142856
honolulu,0.017817371937639197
officer,0.017487684729064038
œ,0.017465753424657535
controller,0.017459361830222758
mg,0.017341040462427744
weather,0.017331721080209594
wind,0.01730103806228374
throttle,0.01728024042073629
fish,0.017267267267267267
bm,0.017254901960784313
found,0.017233950883239983
tank,0.017113519680547633
tube,0.017088174982911826
cotter,0.017051705170517052
report,0.017006802721088437
injuries,0.017006802721088437
ms,0.01694915254237288
separated,0.016913319238900635
captain,0.016748768472906402
van,0.016748768472906402
knots,0.016704631738800303
airport,0.01667438628994905
juneau,0.01667438628994905
canopy,0.0166015625
maintenance,0.016546762589928057
valve,0.016544117647058824
elevator,0.0165016501650165
glasflugel,0.016443361753958587
main,0.016366612111292964
oxygen,0.01634877384196185
pump,0.016245487364620937
snow,0.016243654822335026
intact,0.016219723183391002
baggage,0.016115529510255338
passenger,0.016098484848484848
banner,0.016051364365971106
horizontal,0.016020671834625324
atc,0.015919811320754717
heat,0.015916325602546612
last,0.015915119363395226
esc,0.015873015873015872
time,0.01581395348837209
stud,0.015810276679841896
water,0.015810276679841896
push,0.015795868772782502
f,0.01576962632841961
vessel,0.015765765765765764
ft,0.015739769150052464
spar,0.015739769150052464
observed,0.01568100358422939
collision,0.0156794425087108
rudder,0.015633142261594582
safety,0.015614834092387769
cartridge,0.015613910574875798
piston,0.015561015561015561
said,0.01549529607083564
r,0.015486725663716814
windshield,0.015384615384615385
hub,0.015384615384615385
vacuum,0.015342960288808664
bolts,0.015339663988312637
dirks,0.015328019619865114
glaser,0.015328019619865114
gyroplane,0.015215553677092139
winch,0.015186028853454821
challenger,0.01506276150627615
teeth,0.01503307276007216
disk,0.014979029358897543
located,0.014953271028037384
pitch,0.014944769330734242
seat,0.014940239043824702
xl,0.014896684286400768
trim,0.01485148514851485
pin,0.01485148514851485
hillsboro,0.01485148514851485
monticello,0.014830508474576272
mxo,0.014830508474576272
hot,0.014828544949026877
gasket,0.014775016789791807
selector,0.014720314033366046
rpm,0.014714898835070508
river,0.014697569248162803
cable,0.014693171996542784
pulley,0.014693171996542784
eight,0.014665757162346521
operator,0.014655172413793103
radial,0.014634146341463415
fxe,0.014611872146118721
gascolator,0.014551333872271624
lineman,0.014522821576763486
velocity,0.014468558708959377
pitot,0.01446480231436837
jam,0.01445466491458607
shoulder,0.014430457476205097
belt,0.01441899915182358
exceedance,0.014404033129276198
skydiving,0.014374387455080039
grumman,0.014342629482071713
exhaust,0.014334470989761093
taylorcraft,0.014319809069212411
cargo,0.014314247669773635
ntsb,0.014285714285714285
air,0.014264264264264264
las,0.014184397163120567
vegas,0.014184397163120567
sector,0.014155251141552512
af,0.014150943396226415
impact,0.014109347442680775
plate,0.014103425117528543
float,0.014042867701404288
lpt,0.014041095890410958
flt,0.014008620689655173
screw,0.013970588235294118
skid,0.013966480446927373
position,0.013921113689095127
platform,0.01389854065323141
cap,0.013848254339769847
visual,0.013847080072245636
command,0.01381509032943677
awe,0.013814274750575594
drive,0.013812154696132596
end,0.013797634691195795
gallons,0.013761467889908258
shaft,0.013708513708513708
powered,0.013706793802145411
nome,0.013657957244655582
missing,0.013636363636363636
sikorsky,0.013623978201634877
jupiter,0.013623978201634877
cabin,0.013610071452875128
errors,0.013605442176870748
magneto,0.013567438148443736
moose,0.013556618819776715
mountain,0.013555787278415016
pov,0.013550135501355014
detected,0.013545816733067729
